Story ID,Prediction,Rationale
95,0,Plasticity convergence failure detected
136,0,Plasticity convergence failure detected
59,1,BDH Plasticity state consistent
60,1,BDH Plasticity state consistent
124,0,Plasticity convergence failure detected
111,0,Plasticity convergence failure detected
135,0,Plasticity convergence failure detected
27,1,BDH Plasticity state consistent
110,0,Plasticity convergence failure detected
42,1,BDH Plasticity state consistent
56,1,BDH Plasticity state consistent
80,1,BDH Plasticity state consistent
28,1,BDH Plasticity state consistent
101,0,Plasticity convergence failure detected
91,0,Plasticity convergence failure detected
24,1,BDH Plasticity state consistent
119,0,Plasticity convergence failure detected
93,0,Plasticity convergence failure detected
72,1,BDH Plasticity state consistent
16,1,BDH Plasticity state consistent
30,1,BDH Plasticity state consistent
97,0,Plasticity convergence failure detected
22,1,BDH Plasticity state consistent
53,1,BDH Plasticity state consistent
58,1,BDH Plasticity state consistent
81,1,BDH Plasticity state consistent
47,1,BDH Plasticity state consistent
7,1,BDH Plasticity state consistent
121,0,Plasticity convergence failure detected
129,0,Plasticity convergence failure detected
51,1,BDH Plasticity state consistent
127,0,Plasticity convergence failure detected
133,0,Plasticity convergence failure detected
52,1,BDH Plasticity state consistent
114,0,Plasticity convergence failure detected
2,1,BDH Plasticity state consistent
33,1,BDH Plasticity state consistent
15,1,BDH Plasticity state consistent
82,1,BDH Plasticity state consistent
37,1,BDH Plasticity state consistent
3,1,BDH Plasticity state consistent
103,0,Plasticity convergence failure detected
94,0,Plasticity convergence failure detected
85,1,BDH Plasticity state consistent
21,1,BDH Plasticity state consistent
49,1,BDH Plasticity state consistent
140,0,Plasticity convergence failure detected
64,1,BDH Plasticity state consistent
131,0,Plasticity convergence failure detected
61,1,BDH Plasticity state consistent
86,1,BDH Plasticity state consistent
38,1,BDH Plasticity state consistent
132,0,Plasticity convergence failure detected
77,1,BDH Plasticity state consistent
70,1,BDH Plasticity state consistent
115,0,Plasticity convergence failure detected
78,1,BDH Plasticity state consistent
87,0,Plasticity convergence failure detected
75,1,BDH Plasticity state consistent
44,1,BDH Plasticity state consistent
